,cpu,n,cpu_prop,cpu_prop_as_perc,cpu_age_in_years
1,AMD Custom APU 0405,334,0.106437221159975,10.6437221159975,1.908407
2,AMD Ryzen 5 3600 6-Core Processor,72,0.0229445506692161,2.29445506692161,4.4812030075188
3,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,52,0.0165710643722116,1.65710643722116,3.32467532467532
4,AMD Ryzen 5 5600X 6-Core Processor,48,0.0152963671128107,1.52963671128107,3.14969241285031
5,AMD Ryzen 5 2600 Six-Core Processor,45,0.01434034416826,1.434034416826,5.69514695830485
6,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,43,0.0137029955385596,1.37029955385596,3.32467532467532
7,AMD Ryzen 5 5600G with Radeon Graphics,43,0.0137029955385596,1.37029955385596,2.71496924128503
8,AMD Ryzen 5 5600 6-Core Processor,35,0.0111536010197578,1.11536010197578,1.69788106630212
9,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,32,0.0101975780752071,1.01975780752071,6.35406698564593
10,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,30,0.00956022944550669,0.956022944550669,3.74299384825701
11,AMD Ryzen 7 3700X 8-Core Processor,29,0.00924155513065647,0.924155513065647,4.4812030075188
12,AMD Ryzen 5 5600H with Radeon Graphics,27,0.00860420650095602,0.860420650095602,2.963773
13,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz,27,0.00860420650095602,0.860420650095602,4.41285030758715
14,AMD Ryzen 7 5700U with Radeon Graphics,26,0.0082855321861058,0.82855321861058,2.96377306903623
15,Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz,26,0.0082855321861058,0.82855321861058,4.41285030758715
16,Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,26,0.0082855321861058,0.82855321861058,3.66643882433356
17,AMD Ryzen 3 3200G with Radeon Vega Graphics,25,0.00796685787125558,0.796685787125558,4.4812030075188
18,AMD Ryzen 7 5800X 8-Core Processor,25,0.00796685787125558,0.796685787125558,3.14969241285031
19,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,22,0.00701083492670491,0.701083492670491,7.327409
20,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,21,0.00669216061185468,0.669216061185469,2.63841421736159
21,AMD Ryzen 5 1600 Six-Core Processor,21,0.00669216061185468,0.669216061185469,6.71496924128503
22,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,21,0.00669216061185468,0.669216061185469,4.97881066302119
23,AMD Ryzen 9 5900X 12-Core Processor,21,0.00669216061185468,0.669216061185469,3.14969241285031
24,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,21,0.00669216061185468,0.669216061185469,5.24401913875598
25,AMD Ryzen 7 5700X 8-Core Processor,20,0.00637348629700446,0.637348629700446,1.74162679425837
26,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,20,0.00637348629700446,0.637348629700446,12.9596719070403
27,12th Gen Intel(R) Core(TM) i5-12400F,19,0.00605481198215424,0.605481198215424,1.987697
