project,distro,kernel,flatpak,avx,cpu,gpu
Vinegar v1.6.0,Arch Linux,6.6.7-zen1-1-zen,false,true,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.68-1-MANJARO,true,true,AMD Ryzen 5 3400G with Radeon Vega Graphics,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-200.fc39.x86_64,true,true,AMD Ryzen 5 PRO 5650U with Radeon Graphics,amdgpu
Vinegar v1.6.0,Arch Linux,6.7.0-rc6-273-tkg-eevdf,false,true,AMD Ryzen 7 3800XT 8-Core Processor,"amdgpu,amdgpu"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.5.0-14-generic,true,true,AMD Ryzen 7 5800X 8-Core Processor,amdgpu
Vinegar v1.6.0,Arch Linux,6.6.8-2-cachyos,false,true,AMD Ryzen 5 5600X 6-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.5.0-14-generic,true,false,Intel(R) Core(TM) i5 CPU         760  @ 2.80GHz,nouveau
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-39-generic,true,true,AMD Ryzen 7 3700X 8-Core Processor,nvidia
Vinegar v1.6.0,Arch Linux,6.6.7-zen1-1-zen,false,true,AMD Ryzen 5 5600X 6-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-39-generic,true,true,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,"i915,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-76-generic,true,true,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.0-16-amd64,true,true,AMD Ryzen 7 7700X 8-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.68,true,true,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-200.fc39.x86_64,true,true,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.0-16-amd64,true,true,Intel(R) Core(TM) i3-10105F CPU @ 3.70GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,AMD Ryzen 9 5900X 12-Core Processor,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.5.0-14-generic,true,true,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,"qxl,amdgpu"
Vinegar v1.6.0,Arch Linux,6.6.7-arch1-1,false,true,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.55-06877-gc83437f2949f,true,true,AMD A6-9220C RADEON R5 5 COMPUTE CORES 2C3G,virtio-pci
Vinegar v1.6.0,Manjaro Linux,6.6.7-5-MANJARO,false,true,Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,radeon
Vinegar v1.6.0,Arch Linux,6.6.7-arch1-1,false,true,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.7.0-rc6,true,true,AMD Ryzen 5 5600X 6-Core Processor,"simple-framebuffer,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-200.fc39.x86_64,true,true,AMD Ryzen 7 5700X 8-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-200.fc39.x86_64,true,true,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.69-1-lts,true,true,AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,"amdgpu,amdgpu"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.0-16-amd64,true,true,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,"i915,amdgpu"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-76060606-generic,true,true,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,"i915,amdgpu"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-zen1-1-zen,true,true,AMD Ryzen 7 3800X 8-Core Processor,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-zen1-1-zen,true,true,AMD Ryzen 5 2400G with Radeon Vega Graphics,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-26-generic,true,true,AMD A4-5000 APU with Radeon(TM) HD Graphics,radeon
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-200.fc39.x86_64,true,true,Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-arch1-1,true,true,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,AMD Ryzen 5 3500 6-Core Processor,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-39-generic,true,true,11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-200.fc39.x86_64,true,true,AMD Ryzen 5 2600 Six-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-zen1-1-zen,true,true,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,"i915,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.1.0-16-amd64,true,true,Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.5.0-5-amd64,true,true,11th Gen Intel(R) Core(TM) i9-11900KF @ 3.50GHz,nvidia
Vinegar v1.6.0,EndeavourOS,6.6.2-zen1-1-zen,false,true,Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz,nvidia
Vinegar v1.6.0,Manjaro Linux,6.5.13-6-MANJARO,false,true,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,nouveau
Vinegar v1.6.0,Arch Linux,6.6.7-arch1-1,false,true,AMD Ryzen 5 2600X Six-Core Processor,"simple-framebuffer,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-200.fc39.x86_64,true,true,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,"nvidia,i915"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-1-liquorix-amd64,true,true,AMD Ryzen 9 5900X 12-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-4-MANJARO,true,true,AMD Ryzen 9 7950X 16-Core Processor,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-76060606-generic,true,true,AMD Ryzen 9 7900 12-Core Processor,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-zen1-1-zen,true,true,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,"simple-framebuffer,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.6-76060606-generic,true,true,AMD Ryzen 5 5600H with Radeon Graphics,"amdgpu,nvidia"
Vinegar v1.6.0,EndeavourOS,6.6.7-arch1-1,false,true,Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz,"simple-framebuffer,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-arch1-1,true,true,AMD Ryzen 7 5700G with Radeon Graphics,nvidia
Vinegar v1.6.0,EndeavourOS,6.6.7-arch1-1,false,true,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,"nvidia,i915"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-39-generic,true,true,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-arch1-1,true,true,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-x64v3-xanmod1,true,true,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,"i915,nvidia"
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,nvidia
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),5.15.0-91-generic,true,true,AMD Ryzen 5 5600X 6-Core Processor,nvidia
Vinegar v1.6.0,Arch Linux,6.6.7-1-cachyos-bore,false,true,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.7-200.fc39.x86_64,true,true,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,i915
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.6.8-0-edge,true,true,AMD Ryzen 5 5600G with Radeon Graphics,amdgpu
Vinegar v1.6.0,Freedesktop SDK 23.08 (Flatpak runtime),6.2.0-39-generic,true,true,Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz,i915
